#first line number of ma number of ga
#all other lines lg10[ma[eV]] log10[gag[1/GeV]] Log10[ fh300_,fexc300,fHion300,fHeion300,fcont300] 
# when fi300 were not computed by DH, it was set to  fmax={0.8000, 0.0500, 0.1300, 0.0100 ,0.01000} to be able to deal with a regular grid in CLASS
# ma={5, 6, 7, 8, 10, 15, 20, 25, 30, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100, 150, 200, 250, 300, 350, 400, 450, 500, 550, 600, 650, 700, 750, 800, 849, 899, 951}
# loga={-15., -14.7, -14.52, -14.4, -14.3, -14.22, -14.15, -14.1, -14.05, -14., -13.7, -13.52, -13.4, -13.3, -13.22, -13.15, -13.1, -13.05, -13., -12.7, -12.52, -12.4, -12.3, -12.22, -12.15, -12.1, -12.05, -12., -11.7, -11.52, -11.4, -11.3, -11.22, -11.15, -11.1, -11.05, -11., -10.3, -10.}

38	39

2.602	-14.7	-0.6653	-0.5608	-0.4254	-1.951	-0.9183
2.653	-14.7	-0.6718	-0.5581	-0.4249	-1.92	-0.9172
2.699	-14.7	-0.6747	-0.5574	-0.4241	-1.907	-0.9176
2.74	-14.7	-0.6774	-0.5569	-0.4231	-1.896	-0.9183
2.778	-14.7	-0.6803	-0.5567	-0.4218	-1.887	-0.919
2.813	-14.7	-0.683	-0.5566	-0.4201	-1.881	-0.9205
2.845	-14.7	-0.6849	-0.5563	-0.4192	-1.878	-0.9212
2.875	-14.7	-0.6834	-0.5552	-0.4214	-1.871	-0.9201
2.903	-14.7	-0.6811	-0.5542	-0.424	-1.862	-0.9187
2.929	-14.7	-0.6788	-0.5535	-0.4267	-1.853	-0.9176
2.954	-14.7	-0.6761	-0.5528	-0.4292	-1.845	-0.9165
2.978	-14.7	-0.6718	-0.5542	-0.4302	-1.847	-0.9179
0.699	-14.52	-86.88	-86.66	-86.59	-87.77	-0.0006519
0.7782	-14.52	-86.98	-86.76	-86.69	-87.87	-0.0006519
0.8451	-14.52	-87.05	-86.83	-86.76	-87.94	-0.0006519
0.9031	-14.52	-87.08	-86.86	-86.79	-87.97	-0.0006519
1.	-14.52	-87.18	-86.96	-86.89	-88.07	-0.0006519
1.176	-14.52	-87.38	-87.16	-87.1	-88.27	-0.0006519
1.301	-14.52	-87.48	-87.26	-87.2	-88.37	-0.0006519
1.398	-14.52	-87.58	-0.0006519	-87.3	-88.48	-87.69
1.477	-14.52	-1.288	-1.599	-0.04086	-5.046	-1.936
1.653	-14.52	-0.6586	-0.9702	-0.206	-4.417	-1.306
1.699	-14.52	-0.6089	-0.9205	-0.2389	-4.367	-1.257
1.74	-14.52	-0.5677	-0.8794	-0.2717	-4.326	-1.215
1.778	-14.52	-0.517	-0.8008	-0.3342	-4.107	-1.137
1.813	-14.52	-0.5051	-0.766	-0.3609	-3.933	-1.103
1.845	-14.52	-0.4976	-0.7392	-0.383	-3.768	-1.076
1.875	-14.52	-0.4976	-0.7392	-0.383	-3.768	-1.076
1.903	-14.52	-0.4944	-0.7201	-0.3982	-3.615	-1.057
1.929	-14.52	-0.5028	-0.7044	-0.4026	-3.463	-1.042
1.954	-14.52	-0.5186	-0.6923	-0.3995	-3.315	-1.03
1.978	-14.52	-0.5186	-0.6923	-0.3995	-3.314	-1.03
2.	-14.52	-0.5278	-0.6741	-0.4064	-3.164	-1.013
2.176	-14.52	-0.594	-0.6209	-0.4065	-2.475	-0.963
2.301	-14.52	-0.6275	-0.5904	-0.4159	-2.178	-0.9378
2.398	-14.52	-0.6453	-0.5766	-0.4194	-2.068	-0.9292
2.477	-14.52	-0.6513	-0.5704	-0.4225	-2.021	-0.9248
2.544	-14.52	-0.6564	-0.5661	-0.4247	-1.983	-0.9219
2.602	-14.52	-0.6617	-0.5627	-0.4253	-1.95	-0.9205
2.653	-14.52	-0.6676	-0.5605	-0.4246	-1.923	-0.9201
2.699	-14.52	-0.6692	-0.5604	-0.4237	-1.913	-0.9215
2.74	-14.52	-0.6706	-0.5605	-0.4224	-1.907	-0.923
2.778	-14.52	-0.6704	-0.5608	-0.4222	-1.899	-0.9245
2.813	-14.52	-0.6696	-0.5613	-0.422	-1.892	-0.9255
2.845	-14.52	-0.668	-0.5616	-0.4229	-1.886	-0.9263
2.875	-14.52	-0.6637	-0.5613	-0.4259	-1.878	-0.9259
2.903	-14.52	-0.6594	-0.561	-0.4291	-1.871	-0.9252
2.929	-14.52	-0.655	-0.561	-0.4323	-1.863	-0.9245
2.954	-14.52	-0.6505	-0.561	-0.4352	-1.855	-0.9241
2.978	-14.52	-0.6444	-0.563	-0.4368	-1.858	-0.9263
0.699	-14.4	-86.88	-86.66	-86.59	-87.77	-0.0006519
0.7782	-14.4	-86.98	-86.76	-86.69	-87.87	-0.0006519
0.8451	-14.4	-87.05	-86.83	-86.76	-87.94	-0.0006519
0.9031	-14.4	-87.08	-86.86	-86.79	-87.97	-0.0006519
